Date,price,short_mavg,long_mavg,signal,positions
2024-01-02,48.15434646606445,,,,
2024-01-03,47.55551528930664,,,,
2024-01-04,47.984397888183594,,,,
2024-01-05,49.08308029174805,,,,
2024-01-08,52.23818588256836,49.00310516357422,,,
2024-01-09,53.12493896484375,49.997223663330075,,0.0,
2024-01-10,54.334590911865234,51.3530387878418,,0.0,0.0
2024-01-11,54.806461334228516,52.71745147705078,,0.0,0.0
2024-01-12,54.694488525390625,53.8397331237793,,0.0,0.0
2024-01-16,56.36602020263672,54.66529998779297,,0.0,0.0
2024-01-17,56.037113189697266,55.24773483276367,,0.0,0.0
2024-01-18,57.090816497802734,55.798979949951175,,0.0,0.0
2024-01-19,59.47414016723633,56.73251571655273,,0.0,0.0
2024-01-22,59.63709259033203,57.72103652954102,,0.0,0.0
2024-01-23,59.85603332519531,58.41903915405273,,0.0,0.0
2024-01-24,61.344608306884766,59.48053817749023,,0.0,0.0
2024-01-25,61.59953308105469,60.38228149414063,,0.0,0.0
2024-01-26,61.013702392578125,60.69019393920898,,0.0,0.0
2024-01-29,62.44729232788086,61.25223388671875,,0.0,0.0
2024-01-30,62.756202697753906,61.83226776123047,55.9799280166626,1.0,1.0
2024-01-31,61.509559631347656,61.865258026123044,56.647688674926755,1.0,0.0
2024-02-01,63.00913619995117,62.147178649902344,57.420369720458986,1.0,0.0
2024-02-02,66.14125061035156,63.17268829345703,58.328212356567384,1.0,0.0
2024-02-05,69.3123550415039,64.54570083618164,59.33967609405518,1.0,0.0
2024-02-06,68.20366668701172,65.6351936340332,60.13795013427735,1.0,0.0
2024-02-07,70.0791244506836,67.34910659790039,60.98565940856933,1.0,0.0
2024-02-08,69.62125396728516,68.6715301513672,61.749992561340335,1.0,0.0
2024-02-09,72.11256408691406,69.86579284667968,62.61529769897461,1.0,0.0
2024-02-12,72.22752380371094,70.44882659912109,63.491949462890624,1.0,0.0
2024-02-13,72.10755920410156,71.22960510253907,64.27902641296387,1.0,0.0
2024-02-14,73.87906646728516,71.98959350585938,65.17112407684326,1.0,0.0
2024-02-15,72.63739776611328,72.592822265625,65.94845314025879,1.0,0.0
2024-02-16,72.59241485595703,72.6887924194336,66.60436687469482,1.0,0.0
2024-02-20,69.43231201171875,72.12975006103515,67.09412784576416,1.0,0.0
2024-02-21,67.452880859375,71.19881439208984,67.47397022247314,1.0,0.0
2024-02-22,78.5157470703125,72.12615051269532,68.33252716064453,1.0,0.0
2024-02-23,78.79466247558594,73.35760345458985,69.1922836303711,1.0,0.0
2024-02-26,79.06958770751953,74.65303802490234,70.09507789611817,1.0,0.0
2024-02-27,78.6786880493164,76.50231323242187,70.90664768218994,1.0,0.0
2024-02-28,77.6409912109375,78.53993530273438,71.65088710784912,1.0,0.0
2024-02-29,79.0895767211914,78.65470123291016,72.5298879623413,1.0,0.0
2024-03-01,82.25567626953125,79.34690399169922,73.49221496582031,1.0,0.0
2024-03-04,85.21283721923828,80.57555389404297,74.44579429626465,1.0,0.0
2024-03-05,85.94366455078125,82.02854919433594,75.27735977172851,1.0,0.0
2024-03-06,88.67901611328125,84.23615417480468,76.30112724304199,1.0,0.0
2024-03-07,92.64707946777344,86.9476547241211,77.42952499389648,1.0,0.0
2024-03-08,87.5073013305664,87.99797973632812,78.32382736206054,1.0,0.0
2024-03-11,85.75370788574219,88.10615386962891,79.00588455200196,1.0,0.0
2024-03-12,91.89126586914062,89.29567413330078,79.98907165527343,1.0,0.0
2024-03-13,90.86650085449219,89.73317108154296,80.92701873779296,1.0,0.0
2024-03-14,87.9231948852539,88.78839416503907,81.62922515869141,1.0,0.0
2024-03-15,87.81622314453125,88.85017852783203,82.3881664276123,1.0,0.0
2024-03-18,88.43407440185547,89.3862518310547,83.18024940490723,1.0,0.0
2024-03-19,89.37686157226562,88.88337097167968,84.17747688293457,1.0,0.0
2024-03-20,90.35062408447266,88.78019561767579,85.32236404418946,1.0,0.0
2024-03-21,91.41336822509766,89.47823028564453,85.96724510192871,1.0,0.0
2024-03-22,94.2667007446289,90.76832580566406,86.74084701538087,1.0,0.0
2024-03-25,94.97952270507812,92.0774154663086,87.53634376525879,1.0,0.0
2024-03-26,92.53910064697266,92.70986328125,88.2293643951416,1.0,0.0
2024-03-27,90.22865295410156,92.68546905517579,88.8587474822998,1.0,0.0
2024-03-28,90.33462524414062,92.46972045898437,89.42099990844727,1.0,0.0
2024-04-01,90.34162139892578,91.68470458984375,89.82529716491699,1.0,0.0
2024-04-02,89.43083953857422,90.57496795654296,90.03619728088378,1.0,0.0
2024-04-03,88.94295501708984,89.85573883056641,90.18616180419922,0.0,-1.0
2024-04-04,85.88467407226562,88.98694305419922,90.04644470214843,0.0,0.0
2024-04-05,87.9871826171875,88.5174545288086,89.81344985961914,0.0,0.0
2024-04-08,87.11238861083984,87.87160797119141,89.79370422363282,0.0,0.0
2024-04-09,85.33380126953125,87.05220031738281,89.77270889282227,0.0,0.0
2024-04-10,87.0184097290039,86.66729125976562,89.52906608581543,0.0,0.0
2024-04-11,90.59456634521484,87.60926971435546,89.51546936035156,0.0,0.0
2024-04-12,88.1651382446289,87.64486083984374,89.5275665283203,0.0,0.0
2024-04-15,85.98065185546875,87.41851348876953,89.43578796386718,0.0,0.0
2024-04-16,87.39432525634766,87.83061828613282,89.3838005065918,0.0,0.0
2024-04-17,84.01512145996094,87.22996063232422,89.11571350097657,0.0,0.0
2024-04-18,84.65097045898438,86.04124145507812,88.83073081970215,0.0,0.0
2024-04-19,76.18197631835938,83.64460906982421,88.06916122436523,0.0,0.0
2024-04-22,79.49919128417969,82.3483169555664,87.33078575134277,0.0,0.0
